study_id,year,doi,modalidad,title,stage_primary,stage_norm,q2_candidate_abstract,q2_candidate_terms,AI_task_type,notes_coding,integration_approach,integration_trace,decision_timing,decision_timing_trace,review_trace
28,2024,https://doi.org/10.1016/j.health.2023.100293,No especificado,An evaluation of machine learning approaches for early diagnosis of autism spectrum disorder,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Compara varios clasificadores; ANN/MLP reporta mejor desempeño en dataset combinado.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
33,2020,https://doi.org/10.1016/j.jbiomech.2020.110073,No especificado,Automated identification of postural control for children with autism spectrum disorder using a machine learning approach,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
35,2019,https://doi.org/10.3389/FNCOM.2019.00009/FULL,Imagen,Enhancing diagnosis of autism with optimized machine learning models and personal characteristic data,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Usa solo personal characteristic data de ABIDE; red neuronal fue el mejor modelo.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
36,2024,https://doi.org/10.1016/j.prime.2024.100602,No especificado,Investigating multiclass autism spectrum disorder classification using machine learning techniques,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),LR y SVM destacan; se selecciona LR como principal por mejor desempeño reportado en varios subconjuntos.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
41,2023,https://doi.org/10.1007/s00787-023-02189-6,No especificado,Predictors of age at diagnosis in autism spectrum disorders: the use of multiple regression analyses and a classification tree on a clinical sample,Not clear,Not specified,,,Regression (score / severity / risk),Análisis de predictores de edad al diagnóstico (regresión + árbol); no encaja claramente en una etapa clínica RQ1.,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,stage_norm=Not specified; q2_abstract_bool=missing; q2_terms_bool=missing
44,2019,https://doi.org/10.1055/s-0039-1685525,No especificado,Using Artificial Intelligence to Identify Factors Associated with Autism Spectrum Disorder in Adolescents with Cerebral Palsy,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Modelo predictivo con variables clínicas para identificar adolescentes con CP en riesgo de ASD.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
46,2023,https://doi.org/10.1007/978-3-031-48642-5_7,Texto · NLP,A Model to Support the Prediction of Indicators in the Diagnosis and Intervention of Autism Spectrum Disorder,Monitoring/intervention,Monitoring/intervention,,,Classification (ASD vs control / multi-class),Proyecto en curso basado en conversaciones/escritura para apoyar indicadores diagnósticos/intervención; confirmar arquitectura final.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
48,2020,https://doi.org/10.1016/j.psychres.2020.113377,No especificado,A randomized controlled trial of 25 sessions comparing music therapy and music listening for children with autism spectrum disorder,Screening,Screening,,,Classification (ASD vs control / multi-class),Posible desajuste título-abstract; el abstract describe detección por eye-tracking temporal.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
51,2024,https://doi.org/10.1007/s12539-024-00651-w,Multimodal,Bilinear Perceptual Fusion Algorithm Based on Brain Functional and Structural Data for ASD Diagnosis and Regions of Interest Identification,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Fusión multimodal de datos cerebrales estructurales/funcionales; arquitectura GCN fuera del codebook.,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
52,2023,https://doi.org/10.1177/09544119221141751,Señales fisiológicas,Computer-aided diagnosis of autism spectrum disorder from EEG signals using deep learning with FAWT and multiscale permutation entropy features,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
57,2024,https://doi.org/10.1007/s00521-024-09905-6,Texto · NLP,Evaluation and benchmarking of hybrid machine learning models for autism spectrum disorder diagnosis using a 2-tuple linguistic neutrosophic fuzzy sets-based decision-making model,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
60,2017,https://doi.org/10.1016/j.eurpsy.2017.02.198,No especificado,Hyperuricemia and Metabolic Adverse Effect in Children and Adolescents with Autism Spectrum Disorder Treated with Risperidone,Monitoring/intervention,Monitoring/intervention,,,Regression (score / severity / risk),Estudio principalmente clínico/estadístico sobre efectos metabólicos de risperidona; relevancia de IA ambigua.,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
62,2016,https://doi.org/10.1016/j.eurpsy.2016.01.060,No especificado,Impact of DRD2 polymorphisms on prolactin level in risperidone-treated Thai children and adolescent with autism spectrum disorders,Monitoring/intervention,Monitoring/intervention,,,Other / Not clear,Estudio farmacogenético de prolactina en tratamiento con risperidona; uso de IA/ML no claramente descrito.,Adaptive intervention,Fallback assigned from monitoring/intervention stage,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
63,2025,https://doi.org/10.1109/TNSRE.2024.3516216,Imagen,Improving fMRI-Based Autism Severity Identification via Brain Network Distance and Adaptive Label Distribution Learning,Diagnosis,Diagnosis,,,Regression (score / severity / risk),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
65,2020,https://doi.org/10.1016/j.phycom.2020.101115,No especificado,Modified Grasshopper Optimization Algorithm for detection of Autism Spectrum Disorder,Screening,Screening,,,Other / Not clear,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Triage / questionnaires,Fallback assigned from prescreening/screening stage,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
66,2023,https://doi.org/10.1007/s10803-023-06171-8,Imagen,"Motor Signature Differences Between Autism Spectrum Disorder and Developmental Coordination Disorder, and Their Neural Mechanisms",Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),"Combina kinemática de tablet/video y fMRI para diferenciar ASD, DCD y TD; algoritmo principal no explícito.",Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
67,2018,https://doi.org/10.3390/s18103533,Señales fisiológicas,Novelty detection using deep normative modeling for imu-based abnormal movement monitoring in parkinson’s disease and autism spectrum disorders,Monitoring/intervention,Monitoring/intervention,,,Detection / segmentation,Monitorización de movimiento anómalo con IMU mediante novelty/deep normative modeling; confirmar modelo principal.,Adaptive intervention,Fallback assigned from monitoring/intervention stage,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
69,2024,https://doi.org/10.1109/TNSRE.2023.3347134,Señales fisiológicas,Regional-Asymmetric Adaptive Graph Convolutional Neural Network for Diagnosis of Autism in Children with Resting-State EEG,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Red neuronal convolucional en grafos sobre EEG; arquitectura fuera del codebook.,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
72,2022,https://doi.org/10.1186/s12888-022-03734-4,Multimodal,Transdiagnostic symptom subtypes across autism spectrum disorders and attention deficit hyperactivity disorder: validated by measures of neurocognition and structural connectivity,Diagnosis,Diagnosis,,,Clustering / subtyping,Subtipado transdiagnóstico validado con neurocognición y conectividad estructural.,Adaptive intervention,Keyword rule matched adaptive intervention workflow,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
74,2023,https://doi.org/10.1186/S12859-023-05495-7,Señales fisiológicas,A heterogeneous graph convolutional attention network method for classification of autism spectrum disorder,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
77,2023,https://doi.org/10.3233/SHTI230794,Señales fisiológicas,Age-Specific Diagnostic Classification of ASD Using Deep Learning Approaches,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Mobile screening,Keyword rule matched mobile screening workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
78,2024,https://doi.org/10.1109/JSEN.2024.3362341,Señales fisiológicas,An Automatic Framework for Detecting Autism Spectrum Disorder From EEG Signals Using TFD,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
81,2023,https://doi.org/10.1109/EMBC40787.2023.10340449,Señales fisiológicas,Autism Detection in Children using Common Spatial Patterns of MEG Signals,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
82,2023,https://doi.org/10.1016/j.compbiomed.2023.107539,Imagen,Autism Spectrum Disorder detection framework for children based on federated learning integrated CNN-LSTM,Screening,Screening,,,Classification (ASD vs control / multi-class),Marco federado CNN-LSTM con datasets multimodales de cribado; arquitectura híbrida fuera del codebook.,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
85,2022,https://doi.org/10.1007/s00330-021-08239-4,Imagen,Diagnosing autism spectrum disorder in children using conventional MRI and apparent diffusion coefficient based deep learning algorithms,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
88,2022,https://doi.org/10.1016/j.bpsc.2021.03.015,Señales fisiológicas,Facial Emotions Are Accurately Encoded in the Neural Signal of Those With Autism Spectrum Disorder: A Deep Learning Approach,Monitoring/intervention,Monitoring/intervention,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
92,2025,https://doi.org/10.1016/j.bspc.2024.107466,Señales fisiológicas,Learning discriminative functional connectivity networks for identifying Autism spectrum disorder,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
94,2023,https://doi.org/10.1016/j.ibmed.2023.100102,No especificado,Optimizing a de novo artificial intelligence-based medical device under a predetermined change control plan: Improved ability to detect or rule out pediatric autism,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
98,2024,https://doi.org/10.1016/j.bspc.2024.106671,Señales fisiológicas,Self-supervised machine learning approach for autism detection in young children using MEG signals,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),SSL con wav2vec 2.0 para extraer embeddings MEG; clasificación final con ANN/SVM.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
99,2014,https://doi.org/10.1016/j.ijdevneu.2014.06.013,No especificado,Serum Brain-derived neurotrophic factor levels in Chinese children with autism spectrum disorders: A pilot study,Not clear,Not specified,,,Other / Not clear,Estudio de biomarcador sérico (BDNF) con ROC; no se describe algoritmo de IA/ML principal.,Risk stratification,Stage or keywords matched risk stratification,Pre-decision,Approach maps directly to pre-decision support,stage_norm=Not specified; q2_abstract_bool=missing; q2_terms_bool=missing
100,2025,https://doi.org/10.1111/cns.70562,Señales fisiológicas,Sex Differences in Functional Gradients and Dynamic Functional Connectivity in Preschool-Aged Children With ASD,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Se aplican múltiples modelos ML a características de conectividad/gradientes; algoritmo principal no especificado.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
102,2020,https://doi.org/10.2196/13810,Imagen,Toward continuous social phenotyping: Analyzing gaze patterns in an emotion recognition task for children with autism through wearable smart glasses,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
111,2023,https://doi.org/10.1016/j.irbm.2023.100780,No especificado,On the Utility of Parents' Historical Data to Investigate the Causes of Autism Spectrum Disorder: A Data Mining-Based Framework,Prescreening,Prescreening,,,Classification (ASD vs control / multi-class),Usa historia parental/perinatal estructurada para modelar riesgo/causas; mezcla clustering y predicción sin algoritmo principal claro.,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
115,2025,https://doi.org/10.1002/jdn.70034,No especificado,Electromagnetic Interaction Algorithm (EIA)-Based Feature Selection With Adaptive Kernel Attention Network (AKAttNet) for Autism Spectrum Disorder Classification,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
116,2016,https://doi.org/10.1038/tp.2015.221,No especificado,Use of machine learning for behavioral distinction of autism and ADHD,Screening,Screening,,,Classification (ASD vs control / multi-class),"Usa puntajes SRS para distinguir ASD vs ADHD; aunque es herramienta de cribado, el objetivo es distinción diagnóstica diferencial.",Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
120,2025,https://doi.org/10.1038/s41598-025-01500-6,Imagen,Screening autism spectrum disorder in children using machine learning on speech transcripts,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
127,2024,https://doi.org/10.1038/s41598-024-82299-6,Imagen,Fusion of transfer learning with nature-inspired dandelion algorithm for autism spectrum disorder detection and classification using facial features,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Mobile screening,Keyword rule matched mobile screening workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
130,2025,https://doi.org/10.1038/s41562-025-02132-6,Texto · NLP,Large-scale examination of early-age sex differences in neurotypical toddlers and those with autism spectrum disorder or other developmental conditions,Diagnosis,Diagnosis,,,Clustering / subtyping,Examen de diferencias por sexo/edad; no queda claro el algoritmo o la tarea principal de IA.,Longitudinal dashboards,Keyword rule matched longitudinal dashboard workflow,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
131,2016,https://doi.org/10.2196/jmir.5439,Texto · NLP,Online concerns of parents suspecting autism spectrum disorder in their child: Content analysis of signs and automated prediction of risk,Prescreening,Prescreening,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
133,2022,https://doi.org/10.1038/s41598-022-21719-x,No especificado,A data driven machine learning approach to differentiate between autism spectrum disorder and attention-deficit/hyperactivity disorder based on the best-practice diagnostic instruments for autism,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
134,2021,https://doi.org/10.1016/B978-0-12-822822-7.00011-9,No especificado,A deep learning predictive classifier for autism screening and diagnosis,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
135,2022,https://doi.org/10.1007/s10803-021-05141-2,Audio · Voz,A Deep Neural Network-Based Model for Screening Autism Spectrum Disorder Using the Quantitative Checklist for Autism in Toddlers (QCHAT),Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
137,2021,https://doi.org/10.1177/1460458221991882,Imagen,Applying machine learning on home videos for remote autism diagnosis: Further study and analysis,Screening,Screening,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
138,2024,https://doi.org/10.1038/s41598-024-64299-8,No especificado,ASD-SWNet: a novel shared-weight feature extraction and classification network for autism spectrum disorder diagnosis,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
139,2025,https://doi.org/10.1007/978-981-96-6297-5_20,No especificado,Assessing the Efficacy of Deep Learning Algorithms for Behavioral and Neurological Markers in Autism Diagnosis in Children,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),El abstract no deja claro si es evaluación empírica o revisión de marcadores conductuales/neurológicos.,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
142,2025,https://doi.org/10.1109/JBHI.2025.3542066,Imagen,AV-FOS: Transformer-Based Audio-Visual Multimodal Interaction Style Recognition for Children With Autism Using the Revised Family Observation Schedule 3rd Edition (FOS-R-III),Monitoring/intervention,Monitoring/intervention,,,Classification (ASD vs control / multi-class),Reconocimiento de estilo de interacción audio-visual en FOS-R-III; etapa clínica exacta requiere confirmación.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
143,2023,https://doi.org/10.1186/S12920-023-01439-5,No especificado,Biomarker prediction in autism spectrum disorder using a network-based approach,Diagnosis,Diagnosis,,,Other / Not clear,Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Adaptive intervention,Keyword rule matched adaptive intervention workflow,Post-decision,Approach maps directly to post-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
144,2024,https://doi.org/10.1038/s41598-024-56098-y,Imagen,Classifying autism in a clinical population based on motion synchrony: a proof-of-concept study using real-life diagnostic interviews,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
146,2022,https://doi.org/10.1186/S12911-022-02050-X,No especificado,Comparison of classification algorithms for predicting autistic spectrum disorder using WEKA modeler,Screening,Screening,,,Classification (ASD vs control / multi-class),Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
147,2025,https://doi.org/10.1109/TCSS.2025.3593119,Multimodal,DALNN: Dual Attention Learning Neural Network for Diagnosis of Autism Spectrum Disorders and Exploration of Lesion Brain Regions,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Feature extraction,Keyword rule matched feature extraction workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
149,2021,https://doi.org/10.1176/appi.ajp.2020.19101091,Multimodal,Diagnostic classification for human autism and obsessive-compulsive disorder based on machine learning from a primate genetic model,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Clasificación diagnóstica basada en modelo genético de primates; confirmar fuente biológica exacta.,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
150,2021,https://doi.org/10.1111/JCPP.13406,Señales fisiológicas,Diagnostic shifts in autism spectrum disorder can be linked to the fuzzy nature of the diagnostic boundary: a data-driven approach,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text; Se comparan varios modelos; se eligió el principal/mejor reportado,Second-reader decision support,Keyword rule matched second-reader decision support,In-decision,Second-reader pattern maps to in-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
156,2021,https://doi.org/10.1109/ACCESS.2021.3069211,Imagen,Exploring sMRI Biomarkers for Diagnosis of Autism Spectrum Disorders Based on Multi Class Activation Mapping Models,Diagnosis,Diagnosis,,,Classification (ASD vs control / multi-class),Algoritmo principal no explícito o fuera del codebook; Confirmar algoritmo principal en full-text,Triage / questionnaires,Keyword rule matched triage/questionnaire workflow,Pre-decision,Approach maps directly to pre-decision support,q2_abstract_bool=missing; q2_terms_bool=missing
